"RowID","Date","Year","Location","IndicatorName","IndicatorValue","IndicatorID","IndicatorID_old","IndicatorTable"
"Baton Rouge, LA_Calculation: (B23002H_004E+B23002H_011E+B23002H_018E+B23002H_025E)/(B23002H_003E+B23002H_010E+B23002H_017E+B23002H_024E)_2010","01/01/2010 12:00:00 AM","2010","Baton Rouge, LA","Workforce participation rate (Male, White alone, not Hispanic or Latino)","75.0","Calculation: (B23002H_004E+B23002H_011E+B23002H_018E+B23002H_025E)/(B23002H_003E+B23002H_010E+B23002H_017E+B23002H_024E)","Calculation: (HD01_VD04+HD01_VD11+HD01_VD18+HD01_VD25)/(HD01_VD03+HD01_VD10+HD01_VD17+HD01_VD24)","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Baton Rouge, LA_B23002H_059E_2010","01/01/2010 12:00:00 AM","2010","Baton Rouge, LA","Estimate; Female: - 25 to 54 years: - In labor force: (White alone, not Hispanic or Latino)","11892.0","B23002H_059E","HD01_VD59","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Baton Rouge, LA_B23002H_025E_2010","01/01/2010 12:00:00 AM","2010","Baton Rouge, LA","Estimate; Male: - 55 to 64 years: - In labor force: (White alone, not Hispanic or Latino)","2723.0","B23002H_025E","HD01_VD25","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Baton Rouge, LA_B23002H_058E_2010","01/01/2010 12:00:00 AM","2010","Baton Rouge, LA","Estimate; Female: - 25 to 54 years: (White alone, not Hispanic or Latino)","15000.0","B23002H_058E","HD01_VD58","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Baton Rouge, LA_B23002H_004E_2010","01/01/2010 12:00:00 AM","2010","Baton Rouge, LA","Estimate; Male: - 16 to 19 years: - In labor force: (White alone, not Hispanic or Latino)","1080.0","B23002H_004E","HD01_VD04","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Baton Rouge, LA_B23002H_065E_2010","01/01/2010 12:00:00 AM","2010","Baton Rouge, LA","Estimate; Female: - 55 to 64 years: (White alone, not Hispanic or Latino)","5717.0","B23002H_065E","HD01_VD65","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"New Orleans, LA_B23002H_052E_2010","01/01/2010 12:00:00 AM","2010","New Orleans, LA","Estimate; Female: - 20 to 24 years: - In labor force: (White alone, not Hispanic or Latino)","3353.0","B23002H_052E","HD01_VD52","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"New Orleans, LA_B23002H_010E_2010","01/01/2010 12:00:00 AM","2010","New Orleans, LA","Estimate; Male: - 20 to 24 years: (White alone, not Hispanic or Latino)","5169.0","B23002H_010E","HD01_VD10","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"New Orleans, LA_B23002H_045E_2010","01/01/2010 12:00:00 AM","2010","New Orleans, LA","Estimate; Female: - 16 to 19 years: - In labor force: (White alone, not Hispanic or Latino)","839.0","B23002H_045E","HD01_VD45","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"New Orleans, LA_B23002H_011E_2010","01/01/2010 12:00:00 AM","2010","New Orleans, LA","Estimate; Male: - 20 to 24 years: - In labor force: (White alone, not Hispanic or Latino)","3360.0","B23002H_011E","HD01_VD11","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"New Orleans, LA_B23002H_051E_2010","01/01/2010 12:00:00 AM","2010","New Orleans, LA","Estimate; Female: - 20 to 24 years: (White alone, not Hispanic or Latino)","4522.0","B23002H_051E","HD01_VD51","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"New Orleans, LA_B23002H_018E_2010","01/01/2010 12:00:00 AM","2010","New Orleans, LA","Estimate; Male: - 25 to 54 years: - In labor force: (White alone, not Hispanic or Latino)","24490.0","B23002H_018E","HD01_VD18","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"New Orleans, LA_B23002H_044E_2010","01/01/2010 12:00:00 AM","2010","New Orleans, LA","Estimate; Female: - 16 to 19 years: (White alone, not Hispanic or Latino)","3302.0","B23002H_044E","HD01_VD44","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"New Orleans, LA_B23002H_024E_2010","01/01/2010 12:00:00 AM","2010","New Orleans, LA","Estimate; Male: - 55 to 64 years: (White alone, not Hispanic or Latino)","7710.0","B23002H_024E","HD01_VD24","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"New Orleans, LA_B23002H_017E_2010","01/01/2010 12:00:00 AM","2010","New Orleans, LA","Estimate; Male: - 25 to 54 years: (White alone, not Hispanic or Latino)","27193.0","B23002H_017E","HD01_VD17","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"New Orleans, LA_B23002H_003E_2010","01/01/2010 12:00:00 AM","2010","New Orleans, LA","Estimate; Male: - 16 to 19 years: (White alone, not Hispanic or Latino)","2367.0","B23002H_003E","HD01_VD03","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"New Orleans, LA_B23002H_066E_2010","01/01/2010 12:00:00 AM","2010","New Orleans, LA","Estimate; Female: - 55 to 64 years: - In labor force: (White alone, not Hispanic or Latino)","4224.0","B23002H_066E","HD01_VD66","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"New Orleans, LA_Calculation: (B23002H_045E+B23002H_052E+B23002H_059E+B23002H_066E)/(B23002H_044E+B23002H_051E+B23002H_058E+B23002H_065E)_2010","01/01/2010 12:00:00 AM","2010","New Orleans, LA","Workforce participation rate (Female, White alone, not Hispanic or Latino)","72.0","Calculation: (B23002H_045E+B23002H_052E+B23002H_059E+B23002H_066E)/(B23002H_044E+B23002H_051E+B23002H_058E+B23002H_065E)","Calculation: (HD01_VD45+HD01_VD52+HD01_VD59+HD01_VD66)/(HD01_VD44+HD01_VD51+HD01_VD58+HD01_VD65)","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"New Orleans, LA_Calculation: (B23002H_004E+B23002H_011E+B23002H_018E+B23002H_025E)/(B23002H_003E+B23002H_010E+B23002H_017E+B23002H_024E)_2010","01/01/2010 12:00:00 AM","2010","New Orleans, LA","Workforce participation rate (Male, White alone, not Hispanic or Latino)","81.0","Calculation: (B23002H_004E+B23002H_011E+B23002H_018E+B23002H_025E)/(B23002H_003E+B23002H_010E+B23002H_017E+B23002H_024E)","Calculation: (HD01_VD04+HD01_VD11+HD01_VD18+HD01_VD25)/(HD01_VD03+HD01_VD10+HD01_VD17+HD01_VD24)","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
