Licensee Name,Street,City,State,Zip,Licensee Number,Channel Type,Account Name,Location
DEL FRISCO'S GRILLE,11800 GRAND PARK AVENUE,ROCKVILLE,MD,20852,BBWLHR856,On Premise,DEL FRISO'S GRILLE OF MARYLAND,"11800 GRAND PARK AVENUE
ROCKVILLE, MD 20852
"
PALADAR LATIN KITCHEN & RUM BAR - G,203 CROWNE PARK AVENUE,GAITHERSBURG,MD,20878,BBWLHR855,On Premise,"PALADAR GAITHERSBURG, LLC","203 CROWNE PARK AVENUE
GAITHERSBURG, MD 20878
"
29 CONVENIENCE MART,10755 COLESVILLE ROAD,SILVER SPRING,MD,20901,DBW125,On/Off-Premise,"JACOB'S MIRAE, INC.","10755 COLESVILLE ROAD
SILVER SPRING, MD 20901
"
ASIA NINE II,254 CROWN PARK ROAD,GAITHERSBURG,MD,20878,BBWLHR861,On Premise,"THAIDEE, INC","254 CROWN PARK ROAD
GAITHERSBURG, MD 20878
"
BLO BLOW DRY BAR,317 ELLINGTON BOULEVARD,GAITHERSBURG,MD,20878,SBSBW0001,On Premise,"YATA MOCO, LLC","317 ELLINGTON BOULEVARD
GAITHERSBURG, MD 20878
"
MAKI MAKI SUSHI,8023 WISCONSIN AVE,BETHESDA,MD,20814,HBW224,On Premise,"JTL, LLC","8023 WISCONSIN AVE
BETHESDA, MD 20814
(38.991082, -77.095581)"
CAMBRIA HOTEL & SUITES,1 HELEN HENEGHAN WAY,ROCKVILLE,MD,20850,BBWLHM20442,On Premise,"CRESENT HOTELS & RESORT, LLC","1 HELEN HENEGHAN WAY
ROCKVILLE, MD 20850
"
CARLUCCIO'S,11826 TRADE STREET,NORTH BETHESDA,MD,20852,BDBWLHR22663,On/Off-Premise,CARLUCCIO'S USA GP,"11826 TRADE STREET
NORTH BETHESDA, MD 20852
"
BRETTON WOODS RECREATION CENTER,15700 RIVER ROAD,GERMANTOWN,MD,20874,CBWLCC006,On Premise,"BRETTON WOODS REC. CENTER, INC","15700 RIVER ROAD
GERMANTOWN, MD 20874
"
TEDS BULLETIN,220 ELLINGTON BOULEVARD,GAITHERSBURG,MD,20878,BBWLHR18583,On Premise,SWEATER VEST LLC,"220 ELLINGTON BOULEVARD
GAITHERSBURG, MD 20878
"
POOLESVILLE GOLF COURSE,16601 WEST WILLARD ROAD,POOLESVILLE,MD,20837,HBW084,On Premise,MONTGOMERY COUNTY REVENUE AUTH,"16601 WEST WILLARD ROAD
POOLESVILLE, MD 20837
"
OLD TOWN POUR HOUSE,212 ELLINGTON BOULEVARD,GAITHERSBURG,MD,20878,BBWLHR18725,On Premise,"BOTTLENECK DTC, LLC","212 ELLINGTON BOULEVARD
GAITHERSBURG, MD 20878
"
,,,,,,,,
TOKYO FIRE,9811 MAIN ST,DAMASCUS,MD,20872,HBW24576,On Premise,TOKYO FIRE INC,"9811 MAIN ST
DAMASCUS, MD 20872
(39.288273, -77.203601)"
IPIC THEATER,11830 GRAND PARK AVENUE,NORTH BETHESDA,MD,20852,BBWLHR863,On Premise,"IPIC-GOLD CLASS ENTERTAINMENT,","11830 GRAND PARK AVENUE
NORTH BETHESDA, MD 20852
"
HYATT REGENCY BETHESDA,ONE BETHESDA METRO,BETHESDA,MD,20814,BBWLHM21674,On Premise,"TMG II BETHESDA HOTEL TRS, LLC","ONE BETHESDA METRO
BETHESDA, MD 20814
"
HOLIDAY INN GAITHERSBURG,TWO MONTGOMERY VILLAGE AVE,GAITHERSBURG,MD,20879,BBWLHM003,On Premise,MONTGOMERY VILLAGE HOSPITALITY,"TWO MONTGOMERY VILLAGE AVE
GAITHERSBURG, MD 20879
"
SMASHBURGER - GAITHERSBURG,200 ELLINGTON BOULEVARD,GAITHERSBURG,MD,20878,BBWLHR847,On Premise,SMASHBURGER ACQUISITION - MD L,"200 ELLINGTON BOULEVARD
GAITHERSBURG, MD 20878
"
GEMELLI'S ITALIAN MARKET,12169 DARNESTOWN ROAD,GAITHERSBURG,MD,20878,DBW151,On/Off-Premise,"GEMELLI'S ITALIAN MARKET, LLC","12169 DARNESTOWN ROAD
GAITHERSBURG, MD 20878
"
DOWNTOWN BEER & WINE,5751 E FISHER LANE,ROCKVILLE,MD,20852,ABWS272,Off Premise,"DOWNTOWN BEER & WINE 2, INC","5751 E FISHER LANE
ROCKVILLE, MD 20852
"
TED'S MONTANA GRILL,105 ELLINGTON BOULEVARD,GAITHERSBURG,MD,20878,BBWLHR21344,On Premise,"TMG OF GAITHERSBURG, LLC","105 ELLINGTON BOULEVARD
GAITHERSBURG, MD 20878
"
URBAN BAR-B-QUE CO.,5566 NORBECK ROAD,ROCKVILLE,MD,20853,BBWLHR689,On Premise,URBAN BURGER COMPANY INC.,"5566 NORBECK ROAD
ROCKVILLE, MD 20853
(39.095463, -77.111687)"
GAITHERSTOWNE BEER & WINE,296 N. FREDERICK AVENUE,GAITHERSBURG,MD,20877,ABWS284,Off Premise,GAITHERSTOWNE BEER & WINE,"296 N. FREDERICK AVENUE
GAITHERSBURG, MD 20877
(39.14483, -77.202679)"
HOLLYWOOD EAST CAFE - WESTFIELD,"11160 VEIRS MILL ROAD, #1",SILVER SPRING,MD,20902,BBWLHR582,On Premise,"FOUR KINGS ENTERPRISES, INC.","11160 VEIRS MILL ROAD, #1
SILVER SPRING, MD 20902
(39.038177, -77.052681)"
ARGYLE COUNTRY CLUB,14600 ARGYLE CLUB ROAD,SILVER SPRING,MD,20906,CBWLCC003,On Premise,ARGYLE LAND COMPANY INC.,"14600 ARGYLE CLUB ROAD
SILVER SPRING, MD 20906
(39.096409, -77.046569)"
THE CAPITAL GRILLE,"5310 WESTERN AVE, SUITE A",CHEVY CHASE,MD,20815,BBWLHR557,On Premise,"GMR MONTGOMERY COUNTY, INC.","5310 WESTERN AVE, SUITE A
CHEVY CHASE, MD 20815
(38.959313, -77.087623)"
THE TAVERN AT RIVER FALLS,10128 RIVER ROAD,POTOMAC,MD,20854,BBWLHR22787,On Premise,"POTOMAC FALLS TAVERN, LLC","10128 RIVER ROAD
POTOMAC, MD 20854
(39.017724, -77.208627)"
JERRYS SUB SHOP,15547 OLD COLUMBIA PIKE,BURTONSVILLE,MD,20866,HBW096,On Premise,"CHAI III, INC.","15547 OLD COLUMBIA PIKE
BURTONSVILLE, MD 20866
(39.109731, -76.934835)"
SILVER SPRING MOOSE LODGE NO. 658,4343 SANDY SPRING ROAD,BURTONSVILLE,MD,20868,CBWLFV011,On Premise,"SILVER SPRING MOOSE 658, LOYAL","4343 SANDY SPRING ROAD
BURTONSVILLE, MD 20868
(39.107745, -76.92158)"
JO'S BEER-WINE,18507 N. FREDERICK ROAD,GAITHERSBURG,MD,20879,ABWS20278,Off Premise,"JO'S BEER-WINE, LLC.","18507 N. FREDERICK ROAD
GAITHERSBURG, MD 20879
(39.162776, -77.225319)"
PERSIMMON,7003 WISCONSIN AVE,CHEVY CHASE,MD,20815,BBWLHR329,On Premise,UNIQUE ASSET LLC,"7003 WISCONSIN AVE
CHEVY CHASE, MD 20815
(38.979382, -77.091731)"
THE GRILLED OYSTER COMPANY,7943 TUCKERMAN LANE,POTOMAC,MD,20854,BBWLHR732,On Premise,"OLLIEJACK'S RESTAURANT, LLC","7943 TUCKERMAN LANE
POTOMAC, MD 20854
(39.040937, -77.160493)"
GEORGETOWN SQUARE WINE & CHEESE,10400 OLD GEORGETOWN ROAD,BETHESDA,MD,20814,ABWS234,Off Premise,H & A WINE & CHEESE INC.,"10400 OLD GEORGETOWN ROAD
BETHESDA, MD 20814
(39.025877, -77.126067)"
RUAN THAI,11407 AMHERST AVE,SILVER SPRING,MD,20902,HBW004,On Premise,RUAN THAI RESTAURANT INC.,"11407 AMHERST AVE
SILVER SPRING, MD 20902
(39.041907, -77.048039)"
MAMMA LUCIA - SHADY GROVE,14921 SHADY GROVE ROAD,ROCKVILLE,MD,20850,BBWLHR341,On Premise,"MAMMA LUCIA'S OF FALLSGROVE, I","14921 SHADY GROVE ROAD
ROCKVILLE, MD 20850
(39.096703, -77.194789)"
COLOMBIAN BREEZE,348 Main Street,Gaithersburg,MD,20878,BBWLHR868,On Premise,"JP II Colombian Breeze, LLC","348 Main Street
Gaithersburg, MD 20878
(39.121333, -77.237717)"
ITALIAN KITCHEN,8201 FENTON STREET,SILVER SPRING,MD,20910,BBWHR21279,On Premise,8201 FENTON STREET LLC,"8201 FENTON STREET
SILVER SPRING, MD 20910
(38.991999, -77.024026)"
LATINO MARKET & GROCERY,"12 EAST DIAMOND AVE, UNIT J",GAITHERSBURG,MD,20877,ABW217,Off Premise,"LATINO MARKET & GROCERY, INC.","12 EAST DIAMOND AVE, UNIT J
GAITHERSBURG, MD 20877
(39.141704, -77.198236)"
SILVER DINER - ROCKVILLE,12276 ROCKVILLE PIKE,ROCKVILLE,MD,20852,BBWLHR614,On Premise,"SILVER DINER ROCKVILLE, LLC","12276 ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.057704, -77.12054)"
SHALOM STRICTLY KOSHER MEATS,1361 LAMBERTON DRIVE,SILVER SPRING,MD,20902,ABWS103,Off Premise,"SHALOM STRICTLY KOSHER MEATS,","1361 LAMBERTON DRIVE
SILVER SPRING, MD 20902
(39.040993, -77.029595)"
MASTER 8 BILLARDS,2640 UNIVERSITY BOULEVARD,SILVER SPRING,MD,20902,DBWL002,On Premise,"LVDA, LLC","2640 UNIVERSITY BOULEVARD
SILVER SPRING, MD 20902
(39.040664, -77.054029)"
&PIZZA,11626 OLD GEORGETOWN ROAD,NORTH BETHESDA,MD,20852,BBWLHR21281,On Premise,"IMA PIZZA STORE 8,LLC","11626 OLD GEORGETOWN ROAD
NORTH BETHESDA, MD 20852
(39.049703, -77.113658)"
SPRING BEER & WINE,8645 16TH STREET,SILVER SPRING,MD,20910,ABWS145,Off Premise,SPRING BEER & WINE CORPORATION,"8645 16TH STREET
SILVER SPRING, MD 20910
(38.998562, -77.0395)"
"SILVER SPRING BEER, WINE & DELI",8746 GEORGIA AVE,SILVER SPRING,MD,20910,DBW081,On/Off-Premise,"RYANALEX, INC.","8746 GEORGIA AVE
SILVER SPRING, MD 20910
(38.99853, -77.03091)"
DIETLES,11010 ROCKVILLE PIKE,ROCKVILLE,MD,20852,DBW001,On/Off-Premise,DIETLES TAVERN LLC,"11010 ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.036996, -77.108038)"
ADDIS ABABA RESTAURANT,8233 FENTON STREET,SILVER SPRING,MD,20910,BBWLHR700,On Premise,"ABYE, LLC","8233 FENTON STREET
SILVER SPRING, MD 20910
(38.99275, -77.024071)"
SENOR TEQUILA'S,20021 CENTURY BLVD,GERMANTOWN,MD,20874,BBWLHR21170,On Premise,"SENOR TEQUILA'S OF MARYLAND, INC","20021 CENTURY BLVD
GERMANTOWN, MD 20874
(39.184307, -77.260122)"
VISARTS,"155 GIBBS STREET, SUITE 300",ROCKVILLE,MD,20850,SBWLCPA01,On Premise,METROPOLITAN CENTER FOR THE VI,"155 GIBBS STREET, SUITE 300
ROCKVILLE, MD 20850
(39.086943, -77.151982)"
HERSHEYS RESTAURANT,17030 OAKMONT AVE,GAITHERSBURG,MD,20877,BBWLHR135,On Premise,"GORMAN, INC.","17030 OAKMONT AVE
GAITHERSBURG, MD 20877
(39.135799, -77.177354)"
ANNA'S DELI PLUS,11512 MIDDLEBROOK ROAD,GERMANTOWN,MD,20876,ABWS179,Off Premise,ANNA'S DELI PLUS INC.,"11512 MIDDLEBROOK ROAD
GERMANTOWN, MD 20876
(39.180383, -77.239433)"
BAR LOUIE,150 GIBBS STREET,ROCKVILLE,MD,20850,BBWLHR716,On Premise,"BL RESTAURANT OPERATIONS, LLC","150 GIBBS STREET
ROCKVILLE, MD 20850
(39.086961, -77.151982)"
COURTYARD BY MARRIOTT-SILVER SPRING,8506 FENTON STREET,SILVER SPRING,MD,20910,BBWLHM210,On Premise,SILVER SPRING HOTEL ASSOCIATES,"8506 FENTON STREET
SILVER SPRING, MD 20910
(38.995607, -77.024441)"
STATE LINE MARKET,7817 EASTERN AVE,SILVER SPRING,MD,20910,ABW229,Off Premise,"BAMLAK, LLC","7817 EASTERN AVE
SILVER SPRING, MD 20910
(38.984922, -77.027031)"
KISS & RIDE NEWSSTAND CONV STR,"11171 GEORGIA AVE, UNIT B",SILVER SPRING,MD,20902,ABW215,Off Premise,"KISS & RIDE, LLC","11171 GEORGIA AVE, UNIT B
SILVER SPRING, MD 20902
(39.038529, -77.050744)"
THE COMUS INN,23900 OLD HUNDRED ROAD,DICKERSON,MD,20842,BBWLHR372,On Premise,THE COMUS INN AT SUGARLOAF MT,"23900 OLD HUNDRED ROAD
DICKERSON, MD 20842
(39.247705, -77.349338)"
N-DOWNTOWN BEER AND WINE 3,70 UPPER ROCK CIR,ROCKVILLE,MD,20850,DBW22817,On/Off-Premise,DOWNTOWN BEER & WINE 3 CORP,"70 UPPER ROCK CIR
ROCKVILLE, MD 20850
(39.104, -77.157)"
PACCI'S TRATTORIA,6 POST OFFICE ROAD,SILVER SPRING,MD,20910,BBWLHR680,On Premise,"PACCI'S TRATTORIA, LLC","6 POST OFFICE ROAD
SILVER SPRING, MD 20910
(39.015049, -77.055406)"
RIDERWOOD VILLAGE,3110 GRACEFIELD ROAD,SILVER SPRING,MD,20904,CBWLRC001,On Premise,RIDERWOOD VILLAGE INC.,"3110 GRACEFIELD ROAD
SILVER SPRING, MD 20904
(39.056576, -76.95107)"
ARMAND'S CHICAGO PIZZERIA,1909 SEMINARY ROAD,SILVER SPRING,MD,20910,HBW071,On Premise,RON-RYAN INC.,"1909 SEMINARY ROAD
SILVER SPRING, MD 20910
(39.008647, -77.040908)"
NORMANDIE FARM RESTAURANT,10710 FALLS ROAD,POTOMAC,MD,20854,BBWLHR058,On Premise,"NEW NORMANDIE FARM, INC.","10710 FALLS ROAD
POTOMAC, MD 20854
(39.030049, -77.20159)"
BROOKVILLE EATERY,8921 BROOKVILLE ROAD,SILVER SPRING,MD,20910,ABW026,Off Premise,"BROOKVILLE EATERY ,INC.","8921 BROOKVILLE ROAD
SILVER SPRING, MD 20910
(39.00284, -77.052687)"
ASI ES MI TIERRA,2559 ENNALLS AVE,SILVER SPRING,MD,20902,BBWLHR652,On Premise,"ASI ES MI TIERRA, LLC","2559 ENNALLS AVE
SILVER SPRING, MD 20902
(39.039652, -77.053832)"
MYTHOS MEDITERRANEAN GREEK REST.,8371 SNOUFFER SCHOOL ROAD,GAITHERSBURG,MD,20879,HBW251,On Premise,ROSHANE D. LLC,"8371 SNOUFFER SCHOOL ROAD
GAITHERSBURG, MD 20879
(39.165112, -77.168541)"
WOODSIDE DELI,9329 GEORGIA AVE,SILVER SPRING,MD,20910,DBW047,On/Off-Premise,PAUL ZLONTNICKI & DOV KLIGER,"9329 GEORGIA AVE
SILVER SPRING, MD 20910
(39.008156, -77.040046)"
ASHTON BEER & WINE,7 OLNEY SANDY SPRING ROAD,ASHTON,MD,20861,DBW085,On/Off-Premise,JOCELYN INC.,"7 OLNEY SANDY SPRING ROAD
ASHTON, MD 20861
(39.149313, -77.012706)"
KHUSHBU INDIAN CUISINE,15504 OLD COLUMBIA PIKE,BURTONSVILLE,MD,20866,HBW25669,On Premise,SUNRISERS LLC,"15504 OLD COLUMBIA PIKE
BURTONSVILLE, MD 20866
(39.109754, -76.934809)"
ASPEN HILL RACQUET CLUB,14501 HOMECREST ROAD,SILVER SPRING,MD,20906,DBW010,On/Off-Premise,"ASPEN HILL TENNIS, INC.","14501 HOMECREST ROAD
SILVER SPRING, MD 20906
(39.094722, -77.061778)"
THAI HOUSE RESTAURANT,8369 SNOUFFER SCHOOL ROAD,GAITHERSBURG,MD,20879,DBW135,On/Off-Premise,"AEY, INC.","8369 SNOUFFER SCHOOL ROAD
GAITHERSBURG, MD 20879
(39.166682, -77.17144)"
THE GRILLE AT FLOWER HILL,18257 FLOWER HILL WAY,GAITHERSBURG,MD,20879,BBWLHR806,On Premise,"TWOMOORE HOLDINGS, LLC","18257 FLOWER HILL WAY
GAITHERSBURG, MD 20879
(39.155646, -77.164812)"
LEDO PIZZA - WESTLAKE,10301 WESTLAKE DRIVE,BETHESDA,MD,20817,HBW011,On Premise,WESTLAKE DRIVE PIZZA INC.,"10301 WESTLAKE DRIVE
BETHESDA, MD 20817
(39.026227, -77.148068)"
EL MARIACHI,765 ROCKVILLE PIKE,ROCKVILLE,MD,20852,BBWLHR151,On Premise,"TIO RESTAURANTER, INC.","765 ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.077772, -77.140569)"
LONGHORN STEAKHOUSE,20017 CENTURY BLVD,GERMANTOWN,MD,20874,BBWLHR059,On Premise,RARE BEVERAGES OF MD INC,"20017 CENTURY BLVD
GERMANTOWN, MD 20874
(39.184367, -77.259991)"
YAMAS MEDITERRANEAN GRILL,4806 RUGBY AVE,BETHESDA,MD,20814,BBWLHR595,On Premise,"4806 RUGBY AVENUE, LLC","4806 RUGBY AVE
BETHESDA, MD 20814
(38.991306, -77.096711)"
HOMEWOOD SUITES SILVER SPRING,8728 COLESVILLE ROAD,SILVER SPRING,MD,20910,BBWLHM020,On Premise,HOSPITALITY ASSOCIATES OF COLE,"8728 COLESVILLE ROAD
SILVER SPRING, MD 20910
(38.998287, -77.026529)"
NEW FORTUNE RESTAURANT,16515 SOUTH FREDERICK AVE,GAITHERSBURG,MD,20877,BBWLHR162,On Premise,"NEW FORTUNE , INC.","16515 SOUTH FREDERICK AVE
GAITHERSBURG, MD 20877
(39.126923, -77.18402)"
GUARDADO'S RESTAURANT,4918 DEL RAY AVE,BETHESDA,MD,20814,BBWLHR220,On Premise,"NICOREY, LLC","4918 DEL RAY AVE
BETHESDA, MD 20814
(38.989274, -77.099389)"
WOODMONT MARKET,"8227 WOODMONT AVE, UNIT A",BETHESDA,MD,20814,ABW213,Off Premise,"WOODMONT MARKET, INC.","8227 WOODMONT AVE, UNIT A
BETHESDA, MD 20814
(38.992449, -77.096986)"
BOMBAY BISTRO,98 W. MONTGOMERY AVE,ROCKVILLE,MD,20850,HBW122,On Premise,BOMBAY BREEZE INTL. INC.,"98 W. MONTGOMERY AVE
ROCKVILLE, MD 20850
(39.084175, -77.154782)"
SAZON INKA,6 NORTH WASHINGTON STREET,ROCKVILLE,MD,20850,BBWLHR18663,On Premise,"SAZON INKA, LLC","6 NORTH WASHINGTON STREET
ROCKVILLE, MD 20850
(39.084664, -77.152921)"
WHITE OAK MARKET,"11700 OLD COLUMBIA PIKE, #H",SILVER SPRING,MD,20904,ABW122,Off Premise,"WHITE OAK MARKET, INC.","11700 OLD COLUMBIA PIKE, #H
SILVER SPRING, MD 20904
(39.049239, -76.979535)"
FOUR U,8120 PINEY BRANCH ROAD,SILVER SPRING,MD,20910,ABW168,Off Premise,"FOUR U, INC.","8120 PINEY BRANCH ROAD
SILVER SPRING, MD 20910
(38.992515, -77.009673)"
WASHINGTON-ROCKVILLE ELKS #15,5 TAFT COURT,ROCKVILLE,MD,20850,CBWLFV019,On Premise,B.P.O. ELKS #15,"5 TAFT COURT
ROCKVILLE, MD 20850
(39.095615, -77.131639)"
GRINGOS & MARCIACHIS,4928 CORDELL AVENUE,BETHESDA,MD,20814,BBWLHR815,On Premise,"G & M GROUP, INC","4928 CORDELL AVENUE
BETHESDA, MD 20814
(38.988607, -77.098863)"
LEDO PIZZA - MONTGOMERY VILLAGE,19200 MONTGOMERY VILLAGE AVE,MONTGOMERY VILLAGE,MD,20886,HBW166,On Premise,"MHI HOTEL SERVICES, LLC","19200 MONTGOMERY VILLAGE AVE
MONTGOMERY VILLAGE, MD 20886
(39.172093, -77.203828)"
VILLAGE BEER & WINE - ROCKVILLE,5526 NORBECK ROAD,ROCKVILLE,MD,20853,DBW018,On/Off-Premise,"A & M II, CORPORATION","5526 NORBECK ROAD
ROCKVILLE, MD 20853
(39.095821, -77.110591)"
POTOMAC EXPRESS MARKET AND DELI,12960 TRAVILLAH ROAD,POTOMAC,MD,20854,ABW23472,Off Premise,"ZARA CORPORATION, INC","12960 TRAVILLAH ROAD
POTOMAC, MD 20854
(39.068727, -77.263266)"
BOOEYMONGER,4600 EAST WEST HIGHWAY,BETHESDA,MD,20814,HBWHR25817,On Premise,"BOOEY OF BETHESDA, INC","4600 EAST WEST HIGHWAY
BETHESDA, MD 20814
(38.98478, -77.09298)"
BISTRO LAZEEZ,8009 NORFOLK AVENUE,BETHESDA,MD,20814,HBW349,On Premise,RAMZI OSSEIRAN,"8009 NORFOLK AVENUE
BETHESDA, MD 20814
(38.990032, -77.099127)"
TALBERTS ICE & BEVERAGE SERVICE,5234 RIVER ROAD,BETHESDA,MD,20816,DBW044,On/Off-Premise,MONTGOMERY ICE CORPORATION,"5234 RIVER ROAD
BETHESDA, MD 20816
(38.965323, -77.10446)"
RUMBA Y CARBON,11222 GRANDVIEW AVE,SILVER SPRING,MD,20902,BBWLHR669,On Premise,PIRATA CORP.,"11222 GRANDVIEW AVE
SILVER SPRING, MD 20902
(39.038918, -77.05233)"
MORTON'S - THE STEAKHOUSE,7400 WISCONSIN AVE,BETHESDA,MD,20814,BBWLHR377,On Premise,MORTON'S OF CHICAGO/BETHESDA,"7400 WISCONSIN AVE
BETHESDA, MD 20814
(38.983602, -77.093911)"
GREGORIO'S TRATTORIA,7745 TUCKERMAN LANE,POTOMAC,MD,20854,BBWLHR801,On Premise,"DK ENTERPRISES OF CHANTALLY, L","7745 TUCKERMAN LANE
POTOMAC, MD 20854
(39.039228, -77.156186)"
FU LIN RESTAURANT,2235 BEL PRE ROAD,SILVER SPRING,MD,20906,HBW162,On Premise,J. CHAN RESTAURANT INC.,"2235 BEL PRE ROAD
SILVER SPRING, MD 20906
(39.090496, -77.048158)"
MELTING POT,9021 GAITHER ROAD,GAITHERSBURG,MD,20877,BBWLHR218,On Premise,BERK INC.,"9021 GAITHER ROAD
GAITHERSBURG, MD 20877
(39.117494, -77.184551)"
FILLMORE,8656 COLESVILLE ROAD,SILVER SPRING,MD,20910,BBWLPA002,On Premise,"FACILITY CONCESSION SERVICES,","8656 COLESVILLE ROAD
SILVER SPRING, MD 20910
(38.997288, -77.027221)"
TIFFIN,1341 UNIVERSITY BLVD. EAST,TAKOMA PARK,MD,20912,HBW138,On Premise,"MAHARAJA RESTAURANT CATERERS,","1341 UNIVERSITY BLVD. EAST
TAKOMA PARK, MD 20912
(38.987143, -76.985031)"
CLYDE'S,5441 WISCONSIN AVE,CHEVY CHASE,MD,20815,BBWLHR157,On Premise,CLYDES OF CHEVY CHASE INC.,"5441 WISCONSIN AVE
CHEVY CHASE, MD 20815
(38.962275, -77.086338)"
MATCHBOX,1699 ROCKVILLE PIKE,ROCKVILLE,MD,20852,BBWLHR617,On Premise,"MATCHBOX ROCKVILLE, LLC","1699 ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.062186, -77.124443)"
UMBERTO'S ITALIAN REST. & TEX MEX,11230 GRANDVIEW AVE,SILVER SPRING,MD,20902,BBWLHR070,On Premise,UMBERTO'S LLC,"11230 GRANDVIEW AVE
SILVER SPRING, MD 20902
(39.039262, -77.052415)"
NANDO'S PERI PERI - SILVER SPRING,924 ELLSWORTH DRIVE,SILVER SPRING,MD,20910,BBWLHR606,On Premise,"NANDO'S OF SILVER SPRING, LLC","924 ELLSWORTH DRIVE
SILVER SPRING, MD 20910
(38.995585, -77.026826)"
SABAI SABAI...SIMPLY THAI,19847 CENTURY BLVD,GERMANTOWN,MD,20874,BBWLHR549,On Premise,"AGATE, INC","19847 CENTURY BLVD
GERMANTOWN, MD 20874
(39.181864, -77.265583)"
WOODMONT COUNTRY CLUB,1201 ROCKVILLE PIKE,ROCKVILLE,MD,20854,CBWLCC002,On Premise,R.SHARLIN T.GORDON A.KASLOW,"1201 ROCKVILLE PIKE
ROCKVILLE, MD 20854
(39.069103, -77.130391)"
ASPEN HILL LOTTERY BEER & WINE,13745 CONNECTICUT AVE,SILVER SPRING,MD,20906,ABW004,Off Premise,MERC ENTERPRISES INCORPORATED,"13745 CONNECTICUT AVE
SILVER SPRING, MD 20906
(39.08102, -77.080065)"
LA MEXICANA - GERMANTOWN,13016 MIDDLEBROOK ROAD,GERMANTOWN,MD,20874,BBWLHR034,On Premise,EL MEXICANO INC.,"13016 MIDDLEBROOK ROAD
GERMANTOWN, MD 20874
(39.182495, -77.270583)"
GROSVENOR MARKET,"10401 GROSVENOR PLACE, SUITE 2",ROCKVILLE,MD,20852,ABW010,Off Premise,GROSVENOR MARKET INC.,"10401 GROSVENOR PLACE, SUITE 2
ROCKVILLE, MD 20852
(39.028029, -77.10752)"
LA PANETTERIA RESTAURANT,4921 CORDELL AVE,BETHESDA,MD,20814,BBWLHR138,On Premise,"NORE, INC.","4921 CORDELL AVE
BETHESDA, MD 20814
(38.988782, -77.098692)"
UNION JACK'S RIO,9811 WASHINGTONIAN BOULEVARD,GAITHERSBURG,MD,20878,BBWLHR835,On Premise,"UNION JACK OF RIO, LLC.","9811 WASHINGTONIAN BOULEVARD
GAITHERSBURG, MD 20878
(39.115373, -77.198224)"
7-ELEVEN-GLEN ECHO,7305 MACARTHUR BLVD,BETHESDA,MD,20816,ABW24757,Off Premise,"NATI & ABE ENTERPRISES, INC","7305 MACARTHUR BLVD
BETHESDA, MD 20816
(38.968913, -77.139437)"
SLIGO CREEK GOLF COURSE,9701 SLIGO CREEK PKY,SILVER SPRING,MD,20901,HBW269,On Premise,MONTGOMERY CO. REV. AUTHORITY,"9701 SLIGO CREEK PKY
SILVER SPRING, MD 20901
(39.013472, -77.030435)"
PINEY BRANCH BEER & WINE,8204 PINEY BRANCH ROAD,SILVER SPRING,MD,20910,ABW011,Off Premise,"ALAN BEER & WINE, INC.","8204 PINEY BRANCH ROAD
SILVER SPRING, MD 20910
(38.99307, -77.009403)"
BRADLEY FOOD & BEVERAGE,6904 ARLINGTON ROAD,BETHESDA,MD,20814,DBW130,On/Off-Premise,"BRADLEY FOOD & BEVERAGE, INC.","6904 ARLINGTON ROAD
BETHESDA, MD 20814
(38.978576, -77.098735)"
WOODSIDE DELI II,13048 MIDDLEBROOK ROAD,GERMANTOWN,MD,20874,HBW250,On Premise,ZKB CORPORATION,"13048 MIDDLEBROOK ROAD
GERMANTOWN, MD 20874
(39.183335, -77.271684)"
THE BOTTLE SHOP,"350 FORTUNE TERRACE, SUITE 102",ROCKVILLE,MD,20854,DBW156,On/Off-Premise,"THE BOUKALI GROUP, LLC","350 FORTUNE TERRACE, SUITE 102
ROCKVILLE, MD 20854
(39.062399, -77.159582)"
MON AMI GABI,7239 WOODMONT AVE,BETHESDA,MD,20814,BBWLHR330,On Premise,MON AMI BETHESDA LLC,"7239 WOODMONT AVE
BETHESDA, MD 20814
(38.981382, -77.095662)"
LE VIEUX LOGIS,7925 OLD GEORGETOWN ROAD,BETHESDA,MD,20814,BBWLHR833,On Premise,"VERVEINNE, LLC","7925 OLD GEORGETOWN ROAD
BETHESDA, MD 20814
(38.988803, -77.100967)"
WOK EXPRESS,9615 LOST KNIFE ROAD,GAITHERSBURG,MD,20877,HBW20258,On Premise,MU FAMILY INC.,"9615 LOST KNIFE ROAD
GAITHERSBURG, MD 20877
(39.153228, -77.199027)"
GUAPO'S - RIO,9811 WASHINGTONIAN BLVD,GAITHERSBURG,MD,20878,BBWLHR243,On Premise,GUAPO'S III INC.,"9811 WASHINGTONIAN BLVD
GAITHERSBURG, MD 20878
(39.115373, -77.198224)"
CAVA RESTAURANT,9713 TRAVILLE GATEWAY DRIVE,ROCKVILLE,MD,20850,BBWLHR066,On Premise,"DTI, LLC,","9713 TRAVILLE GATEWAY DRIVE
ROCKVILLE, MD 20850
(39.091502, -77.204217)"
